title,scientific_name,type,climate,soil,water_need,regions,description
Chickpea (Gram),Cicer arietinum,Pulse,Semi-arid to Temperate,Well-drained Loam,Low,"India, Middle East, Mediterranean","Chickpea (Gram) (Cicer arietinum) is a pulse widely cultivated in India, Middle East, Mediterranean.
It typically thrives in semi-arid to temperate climates and prefers well-drained loam soils. The
crop's water requirement is considered low, which influences its irrigation needs and planting
systems. Chickpea (Gram) plays a significant role in local diets, economies, and cultural practices
across the regions where it is grown. Farmers choose varieties and management practices for chickpea
(gram) to match local weather patterns, soil fertility, and market demand. Modern cultivation of
chickpea (gram) includes a mix of traditional methods and mechanized or improved agronomic practices
aimed at improving yields. Challenges for chickpea (gram) production include pests, diseases, and in
some areas, climate variability that can affect yields and quality. Research and breeding programs
continuously work to develop better varieties of chickpea (gram) that are more resilient to stress
and have improved nutritional or industrial traits. Crop residues from chickpea (gram) often have
secondary uses such as animal feed, mulching, or bioenergy in farming systems. As consumer
preferences evolve, chickpea (gram) markets adapt, with shifts toward value-added products and
supply-chain improvements. Sustainable practices for chickpea (gram) such as efficient water use,
integrated pest management, and soil conservation are increasingly promoted. Overall, chickpea
(gram) remains an important agricultural commodity with diverse uses and implications for food
security and rural livelihoods."
Lentil,Lens culinaris,Pulse,Temperate to Semi-arid,"Loamy, Well-drained",Low,"South Asia, Middle East","Lentil (Lens culinaris) is a pulse widely cultivated in South Asia, Middle East. It typically
thrives in temperate to semi-arid climates and prefers loamy, well-drained soils. The crop's water
requirement is considered low, which influences its irrigation needs and planting systems. Lentil
plays a significant role in local diets, economies, and cultural practices across the regions where
it is grown. Farmers choose varieties and management practices for lentil to match local weather
patterns, soil fertility, and market demand. Modern cultivation of lentil includes a mix of
traditional methods and mechanized or improved agronomic practices aimed at improving yields.
Challenges for lentil production include pests, diseases, and in some areas, climate variability
that can affect yields and quality. Research and breeding programs continuously work to develop
better varieties of lentil that are more resilient to stress and have improved nutritional or
industrial traits. Crop residues from lentil often have secondary uses such as animal feed,
mulching, or bioenergy in farming systems. As consumer preferences evolve, lentil markets adapt,
with shifts toward value-added products and supply-chain improvements. Sustainable practices for
lentil such as efficient water use, integrated pest management, and soil conservation are
increasingly promoted. Overall, lentil remains an important agricultural commodity with diverse uses
and implications for food security and rural livelihoods."
Pigeon Pea (Tur),Cajanus cajan,Pulse,Tropical to Subtropical,"Well-drained, Sandy Loam",Low,"India, Africa","Pigeon Pea (Tur) (Cajanus cajan) is a pulse widely cultivated in India, Africa. It typically thrives
in tropical to subtropical climates and prefers well-drained, sandy loam soils. The crop's water
requirement is considered low, which influences its irrigation needs and planting systems. Pigeon
Pea (Tur) plays a significant role in local diets, economies, and cultural practices across the
regions where it is grown. Farmers choose varieties and management practices for pigeon pea (tur) to
match local weather patterns, soil fertility, and market demand. Modern cultivation of pigeon pea
(tur) includes a mix of traditional methods and mechanized or improved agronomic practices aimed at
improving yields. Challenges for pigeon pea (tur) production include pests, diseases, and in some
areas, climate variability that can affect yields and quality. Research and breeding programs
continuously work to develop better varieties of pigeon pea (tur) that are more resilient to stress
and have improved nutritional or industrial traits. Crop residues from pigeon pea (tur) often have
secondary uses such as animal feed, mulching, or bioenergy in farming systems. As consumer
preferences evolve, pigeon pea (tur) markets adapt, with shifts toward value-added products and
supply-chain improvements. Sustainable practices for pigeon pea (tur) such as efficient water use,
integrated pest management, and soil conservation are increasingly promoted. Overall, pigeon pea
(tur) remains an important agricultural commodity with diverse uses and implications for food
security and rural livelihoods."
Black Gram (Urad),Vigna mungo,Pulse,Tropical to Subtropical,"Loam, Well-drained",Moderate,"India, Southeast Asia","Black Gram (Urad) (Vigna mungo) is a pulse widely cultivated in India, Southeast Asia. It typically
thrives in tropical to subtropical climates and prefers loam, well-drained soils. The crop's water
requirement is considered moderate, which influences its irrigation needs and planting systems.
Black Gram (Urad) plays a significant role in local diets, economies, and cultural practices across
the regions where it is grown. Farmers choose varieties and management practices for black gram
(urad) to match local weather patterns, soil fertility, and market demand. Modern cultivation of
black gram (urad) includes a mix of traditional methods and mechanized or improved agronomic
practices aimed at improving yields. Challenges for black gram (urad) production include pests,
diseases, and in some areas, climate variability that can affect yields and quality. Research and
breeding programs continuously work to develop better varieties of black gram (urad) that are more
resilient to stress and have improved nutritional or industrial traits. Crop residues from black
gram (urad) often have secondary uses such as animal feed, mulching, or bioenergy in farming
systems. As consumer preferences evolve, black gram (urad) markets adapt, with shifts toward value-
added products and supply-chain improvements. Sustainable practices for black gram (urad) such as
efficient water use, integrated pest management, and soil conservation are increasingly promoted.
Overall, black gram (urad) remains an important agricultural commodity with diverse uses and
implications for food security and rural livelihoods."
Green Gram (Moong),Vigna radiata,Pulse,Tropical to Subtropical,"Loam, Well-drained",Low,"India, Asia","Green Gram (Moong) (Vigna radiata) is a pulse widely cultivated in India, Asia. It typically thrives
in tropical to subtropical climates and prefers loam, well-drained soils. The crop's water
requirement is considered low, which influences its irrigation needs and planting systems. Green
Gram (Moong) plays a significant role in local diets, economies, and cultural practices across the
regions where it is grown. Farmers choose varieties and management practices for green gram (moong)
to match local weather patterns, soil fertility, and market demand. Modern cultivation of green gram
(moong) includes a mix of traditional methods and mechanized or improved agronomic practices aimed
at improving yields. Challenges for green gram (moong) production include pests, diseases, and in
some areas, climate variability that can affect yields and quality. Research and breeding programs
continuously work to develop better varieties of green gram (moong) that are more resilient to
stress and have improved nutritional or industrial traits. Crop residues from green gram (moong)
often have secondary uses such as animal feed, mulching, or bioenergy in farming systems. As
consumer preferences evolve, green gram (moong) markets adapt, with shifts toward value-added
products and supply-chain improvements. Sustainable practices for green gram (moong) such as
efficient water use, integrated pest management, and soil conservation are increasingly promoted.
Overall, green gram (moong) remains an important agricultural commodity with diverse uses and
implications for food security and rural livelihoods."
Kidney Bean (Rajma),Phaseolus vulgaris,Pulse,Temperate to Tropical,"Loamy, Well-drained",Moderate,"Americas, Asia","Kidney Bean (Rajma) (Phaseolus vulgaris) is a pulse widely cultivated in Americas, Asia. It
typically thrives in temperate to tropical climates and prefers loamy, well-drained soils. The
crop's water requirement is considered moderate, which influences its irrigation needs and planting
systems. Kidney Bean (Rajma) plays a significant role in local diets, economies, and cultural
practices across the regions where it is grown. Farmers choose varieties and management practices
for kidney bean (rajma) to match local weather patterns, soil fertility, and market demand. Modern
cultivation of kidney bean (rajma) includes a mix of traditional methods and mechanized or improved
agronomic practices aimed at improving yields. Challenges for kidney bean (rajma) production include
pests, diseases, and in some areas, climate variability that can affect yields and quality. Research
and breeding programs continuously work to develop better varieties of kidney bean (rajma) that are
more resilient to stress and have improved nutritional or industrial traits. Crop residues from
kidney bean (rajma) often have secondary uses such as animal feed, mulching, or bioenergy in farming
systems. As consumer preferences evolve, kidney bean (rajma) markets adapt, with shifts toward
value-added products and supply-chain improvements. Sustainable practices for kidney bean
(rajma) such as efficient water use, integrated pest management, and soil conservation are
increasingly promoted. Overall, kidney bean (rajma) remains an important agricultural commodity with
diverse uses and implications for food security and rural livelihoods."
Soybean,Glycine max,Oilseed/Legume,Temperate to Subtropical,"Loamy, Fertile",Moderate,Worldwide,"Soybean (Glycine max) is a oilseed/legume widely cultivated in Worldwide. It typically thrives in
temperate to subtropical climates and prefers loamy, fertile soils. The crop's water requirement is
considered moderate, which influences its irrigation needs and planting systems. Soybean plays a
significant role in local diets, economies, and cultural practices across the regions where it is
grown. Farmers choose varieties and management practices for soybean to match local weather
patterns, soil fertility, and market demand. Modern cultivation of soybean includes a mix of
traditional methods and mechanized or improved agronomic practices aimed at improving yields.
Challenges for soybean production include pests, diseases, and in some areas, climate variability
that can affect yields and quality. Research and breeding programs continuously work to develop
better varieties of soybean that are more resilient to stress and have improved nutritional or
industrial traits. Crop residues from soybean often have secondary uses such as animal feed,
mulching, or bioenergy in farming systems. As consumer preferences evolve, soybean markets adapt,
with shifts toward value-added products and supply-chain improvements. Sustainable practices for
soybean such as efficient water use, integrated pest management, and soil conservation are
increasingly promoted. Overall, soybean remains an important agricultural commodity with diverse
uses and implications for food security and rural livelihoods."
Cowpea,Vigna unguiculata,Pulse,"Tropical, Semi-arid",Well-drained Sandy Loam,Low,"Africa, Asia","Cowpea (Vigna unguiculata) is a pulse widely cultivated in Africa, Asia. It typically thrives in
tropical, semi-arid climates and prefers well-drained sandy loam soils. The crop's water requirement
is considered low, which influences its irrigation needs and planting systems. Cowpea plays a
significant role in local diets, economies, and cultural practices across the regions where it is
grown. Farmers choose varieties and management practices for cowpea to match local weather patterns,
soil fertility, and market demand. Modern cultivation of cowpea includes a mix of traditional
methods and mechanized or improved agronomic practices aimed at improving yields. Challenges for
cowpea production include pests, diseases, and in some areas, climate variability that can affect
yields and quality. Research and breeding programs continuously work to develop better varieties of
cowpea that are more resilient to stress and have improved nutritional or industrial traits. Crop
residues from cowpea often have secondary uses such as animal feed, mulching, or bioenergy in
farming systems. As consumer preferences evolve, cowpea markets adapt, with shifts toward value-
added products and supply-chain improvements. Sustainable practices for cowpea such as efficient
water use, integrated pest management, and soil conservation are increasingly promoted. Overall,
cowpea remains an important agricultural commodity with diverse uses and implications for food
security and rural livelihoods."
Peas,Pisum sativum,Pulse/Vegetable,Cool Temperate,"Loamy, Well-drained",Moderate,"Europe, Asia, North America","Peas (Pisum sativum) is a pulse/vegetable widely cultivated in Europe, Asia, North America. It
typically thrives in cool temperate climates and prefers loamy, well-drained soils. The crop's water
requirement is considered moderate, which influences its irrigation needs and planting systems. Peas
plays a significant role in local diets, economies, and cultural practices across the regions where
it is grown. Farmers choose varieties and management practices for peas to match local weather
patterns, soil fertility, and market demand. Modern cultivation of peas includes a mix of
traditional methods and mechanized or improved agronomic practices aimed at improving yields.
Challenges for peas production include pests, diseases, and in some areas, climate variability that
can affect yields and quality. Research and breeding programs continuously work to develop better
varieties of peas that are more resilient to stress and have improved nutritional or industrial
traits. Crop residues from peas often have secondary uses such as animal feed, mulching, or
bioenergy in farming systems. As consumer preferences evolve, peas markets adapt, with shifts toward
value-added products and supply-chain improvements. Sustainable practices for peas such as efficient
water use, integrated pest management, and soil conservation are increasingly promoted. Overall,
peas remains an important agricultural commodity with diverse uses and implications for food
security and rural livelihoods."
Horse Gram,Macrotyloma uniflorum,Pulse,Semi-arid,"Rocky, Sandy Soils",Low,"India, Sri Lanka","Horse Gram (Macrotyloma uniflorum) is a pulse widely cultivated in India, Sri Lanka. It typically
thrives in semi-arid climates and prefers rocky, sandy soils soils. The crop's water requirement is
considered low, which influences its irrigation needs and planting systems. Horse Gram plays a
significant role in local diets, economies, and cultural practices across the regions where it is
grown. Farmers choose varieties and management practices for horse gram to match local weather
patterns, soil fertility, and market demand. Modern cultivation of horse gram includes a mix of
traditional methods and mechanized or improved agronomic practices aimed at improving yields.
Challenges for horse gram production include pests, diseases, and in some areas, climate variability
that can affect yields and quality. Research and breeding programs continuously work to develop
better varieties of horse gram that are more resilient to stress and have improved nutritional or
industrial traits. Crop residues from horse gram often have secondary uses such as animal feed,
mulching, or bioenergy in farming systems. As consumer preferences evolve, horse gram markets adapt,
with shifts toward value-added products and supply-chain improvements. Sustainable practices for
horse gram such as efficient water use, integrated pest management, and soil conservation are
increasingly promoted. Overall, horse gram remains an important agricultural commodity with diverse
uses and implications for food security and rural livelihoods."
Tomato,Solanum lycopersicum,Vegetable,Warm Temperate to Tropical,"Loamy, Well-drained",Moderate,Worldwide,"Tomato (Solanum lycopersicum) is a vegetable widely cultivated in Worldwide. It typically thrives in
warm temperate to tropical climates and prefers loamy, well-drained soils. The crop's water
requirement is considered moderate, which influences its irrigation needs and planting systems.
Tomato plays a significant role in local diets, economies, and cultural practices across the regions
where it is grown. Farmers choose varieties and management practices for tomato to match local
weather patterns, soil fertility, and market demand. Modern cultivation of tomato includes a mix of
traditional methods and mechanized or improved agronomic practices aimed at improving yields.
Challenges for tomato production include pests, diseases, and in some areas, climate variability
that can affect yields and quality. Research and breeding programs continuously work to develop
better varieties of tomato that are more resilient to stress and have improved nutritional or
industrial traits. Crop residues from tomato often have secondary uses such as animal feed,
mulching, or bioenergy in farming systems. As consumer preferences evolve, tomato markets adapt,
with shifts toward value-added products and supply-chain improvements. Sustainable practices for
tomato such as efficient water use, integrated pest management, and soil conservation are
increasingly promoted. Overall, tomato remains an important agricultural commodity with diverse uses
and implications for food security and rural livelihoods."
Potato,Solanum tuberosum,Vegetable/Tuber,Cool Temperate,"Loamy, Well-drained",Moderate,Worldwide,"Potato (Solanum tuberosum) is a vegetable/tuber widely cultivated in Worldwide. It typically thrives
in cool temperate climates and prefers loamy, well-drained soils. The crop's water requirement is
considered moderate, which influences its irrigation needs and planting systems. Potato plays a
significant role in local diets, economies, and cultural practices across the regions where it is
grown. Farmers choose varieties and management practices for potato to match local weather patterns,
soil fertility, and market demand. Modern cultivation of potato includes a mix of traditional
methods and mechanized or improved agronomic practices aimed at improving yields. Challenges for
potato production include pests, diseases, and in some areas, climate variability that can affect
yields and quality. Research and breeding programs continuously work to develop better varieties of
potato that are more resilient to stress and have improved nutritional or industrial traits. Crop
residues from potato often have secondary uses such as animal feed, mulching, or bioenergy in
farming systems. As consumer preferences evolve, potato markets adapt, with shifts toward value-
added products and supply-chain improvements. Sustainable practices for potato such as efficient
water use, integrated pest management, and soil conservation are increasingly promoted. Overall,
potato remains an important agricultural commodity with diverse uses and implications for food
security and rural livelihoods."
Onion,Allium cepa,Vegetable,Temperate to Subtropical,"Sandy Loam, Well-drained",Low to Moderate,Worldwide,"Onion (Allium cepa) is a vegetable widely cultivated in Worldwide. It typically thrives in temperate
to subtropical climates and prefers sandy loam, well-drained soils. The crop's water requirement is
considered low to moderate, which influences its irrigation needs and planting systems. Onion plays
a significant role in local diets, economies, and cultural practices across the regions where it is
grown. Farmers choose varieties and management practices for onion to match local weather patterns,
soil fertility, and market demand. Modern cultivation of onion includes a mix of traditional methods
and mechanized or improved agronomic practices aimed at improving yields. Challenges for onion
production include pests, diseases, and in some areas, climate variability that can affect yields
and quality. Research and breeding programs continuously work to develop better varieties of onion
that are more resilient to stress and have improved nutritional or industrial traits. Crop residues
from onion often have secondary uses such as animal feed, mulching, or bioenergy in farming systems.
As consumer preferences evolve, onion markets adapt, with shifts toward value-added products and
supply-chain improvements. Sustainable practices for onion such as efficient water use, integrated
pest management, and soil conservation are increasingly promoted. Overall, onion remains an
important agricultural commodity with diverse uses and implications for food security and rural
livelihoods."
Garlic,Allium sativum,Vegetable,Temperate to Subtropical,"Loamy, Well-drained",Low,Worldwide,"Garlic (Allium sativum) is a vegetable widely cultivated in Worldwide. It typically thrives in
temperate to subtropical climates and prefers loamy, well-drained soils. The crop's water
requirement is considered low, which influences its irrigation needs and planting systems. Garlic
plays a significant role in local diets, economies, and cultural practices across the regions where
it is grown. Farmers choose varieties and management practices for garlic to match local weather
patterns, soil fertility, and market demand. Modern cultivation of garlic includes a mix of
traditional methods and mechanized or improved agronomic practices aimed at improving yields.
Challenges for garlic production include pests, diseases, and in some areas, climate variability
that can affect yields and quality. Research and breeding programs continuously work to develop
better varieties of garlic that are more resilient to stress and have improved nutritional or
industrial traits. Crop residues from garlic often have secondary uses such as animal feed,
mulching, or bioenergy in farming systems. As consumer preferences evolve, garlic markets adapt,
with shifts toward value-added products and supply-chain improvements. Sustainable practices for
garlic such as efficient water use, integrated pest management, and soil conservation are
increasingly promoted. Overall, garlic remains an important agricultural commodity with diverse uses
and implications for food security and rural livelihoods."
Cabbage,Brassica oleracea var. capitata,Vegetable,Cool Temperate,Fertile Loam,Moderate,Worldwide,"Cabbage (Brassica oleracea var. capitata) is a vegetable widely cultivated in Worldwide. It
typically thrives in cool temperate climates and prefers fertile loam soils. The crop's water
requirement is considered moderate, which influences its irrigation needs and planting systems.
Cabbage plays a significant role in local diets, economies, and cultural practices across the
regions where it is grown. Farmers choose varieties and management practices for cabbage to match
local weather patterns, soil fertility, and market demand. Modern cultivation of cabbage includes a
mix of traditional methods and mechanized or improved agronomic practices aimed at improving yields.
Challenges for cabbage production include pests, diseases, and in some areas, climate variability
that can affect yields and quality. Research and breeding programs continuously work to develop
better varieties of cabbage that are more resilient to stress and have improved nutritional or
industrial traits. Crop residues from cabbage often have secondary uses such as animal feed,
mulching, or bioenergy in farming systems. As consumer preferences evolve, cabbage markets adapt,
with shifts toward value-added products and supply-chain improvements. Sustainable practices for
cabbage such as efficient water use, integrated pest management, and soil conservation are
increasingly promoted. Overall, cabbage remains an important agricultural commodity with diverse
uses and implications for food security and rural livelihoods."
